Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
2R_S8_R1	(1.0, 10.122764014925306)	(2.0, 4.941271385531341)	(3.0, 5.227980015883957)	(4.0, 4.973871490357438)	(5.0, 4.2606545527245405)	(6.0, 3.643769505794514)	(7.0, 2.7853096704602214)	(8.0, 2.3032220950218676)	(9.0, 1.812198113904721)	('>10', 17.444161457046473)	('>50', 6.9534699838091125)	('>100', 16.555517674790792)	('>500', 6.064217759398285)	('>1k', 10.463197736412061)	('>5k', 2.1808986543972306)	('>10k+', 0.26749588954210923)
2R_S8_R2	(1.0, 14.042106976494829)	(2.0, 4.5229865229186705)	(3.0, 4.475065541047807)	(4.0, 4.067865352184089)	(5.0, 3.679196918476962)	(6.0, 3.0966857505812646)	(7.0, 2.6774866520585796)	(8.0, 2.165293634667229)	(9.0, 1.8447361824479143)	('>10', 17.929341221394107)	('>50', 6.698155954987205)	('>100', 15.944714336267712)	('>500', 6.584605394329175)	('>1k', 10.382668202135713)	('>5k', 1.8890913600086743)	('>10k+', 0.0)
30R_S29_R1	(1.0, 50.59950436962352)	(2.0, 12.664734669338637)	(3.0, 4.762446782230782)	(4.0, 2.4082929667636757)	(5.0, 1.585883428743357)	(6.0, 1.1499243862930593)	(7.0, 0.8796082332410298)	(8.0, 0.7738195170972012)	(9.0, 0.6766825491369662)	('>10', 8.801000064674906)	('>50', 3.5244571766182036)	('>100', 9.20594396139826)	('>500', 2.1333962503112867)	('>1k', 0.8343056445290891)	('>5k', 0.0)	('>10k+', 0.0)
30R_S29_R2	(1.0, 56.99353908900465)	(2.0, 11.955232671671096)	(3.0, 4.377214182619459)	(4.0, 2.046633582393746)	(5.0, 1.2967164134841664)	(6.0, 0.901822814826312)	(7.0, 0.7411508745142553)	(8.0, 0.5986573213565948)	(9.0, 0.4741272795288303)	('>10', 7.434270205655907)	('>50', 3.257299335613721)	('>100', 6.707526240654328)	('>500', 1.8373003604803786)	('>1k', 1.0285943050590467)	('>5k', 0.3499153231375379)	('>10k+', 0.0)
31R_S30_R1	(1.0, 18.543955290482774)	(2.0, 4.9268458054284485)	(3.0, 2.1632566800195323)	(4.0, 1.3108428601111257)	(5.0, 0.9703610411106537)	(6.0, 0.7577055834936564)	(7.0, 0.6725028564930897)	(8.0, 0.5613531017528193)	(9.0, 0.5529910977443241)	('>10', 8.819231741064566)	('>50', 4.6396552765883285)	('>100', 13.27805416353426)	('>500', 6.942689369312373)	('>1k', 15.760361093810985)	('>5k', 6.476291302434616)	('>10k+', 13.62390273661849)
31R_S30_R2	(1.0, 24.02591814237621)	(2.0, 4.6221702401032765)	(3.0, 1.9876127362416494)	(4.0, 1.1979066870813535)	(5.0, 0.8610674166394151)	(6.0, 0.6715869652062333)	(7.0, 0.5781631365257254)	(8.0, 0.5057996096439427)	(9.0, 0.4479965338386937)	('>10', 7.575842190655504)	('>50', 3.6668232001347874)	('>100', 10.193749678644034)	('>500', 5.602215220758615)	('>1k', 17.832401706963537)	('>5k', 10.576428164071139)	('>10k+', 9.654318371115874)
32R_S31_R1	(1.0, 19.63123200931814)	(2.0, 5.200146007162522)	(3.0, 2.6937650600576424)	(4.0, 1.8742210271037416)	(5.0, 1.5309871899637395)	(6.0, 1.2621869034926516)	(7.0, 1.0911208961638357)	(8.0, 0.9658292985130082)	(9.0, 0.8488352603150608)	('>10', 15.205885305516354)	('>50', 6.9469601915774035)	('>100', 17.517470832004804)	('>500', 6.959789660005293)	('>1k', 10.950559758594009)	('>5k', 2.008461815728485)	('>10k+', 5.312548784483324)
32R_S31_R2	(1.0, 26.13712867850502)	(2.0, 4.789683712104732)	(3.0, 2.4829723378523374)	(4.0, 1.6718499772189195)	(5.0, 1.3963128615539215)	(6.0, 1.1609213708627604)	(7.0, 0.9916470838901802)	(8.0, 0.8625980431014189)	(9.0, 0.8249660284982009)	('>10', 14.438580811898378)	('>50', 6.929956698143361)	('>100', 16.135741299376026)	('>500', 5.143874781855344)	('>1k', 8.539774510615675)	('>5k', 1.8942053052026466)	('>10k+', 6.599786499321059)
3R_S2_R1	(1.0, 29.850003050172884)	(2.0, 6.960268521118509)	(3.0, 2.5970004262162334)	(4.0, 1.4457445082054272)	(5.0, 1.0103046951062777)	(6.0, 0.7814215077738456)	(7.0, 0.6900700756800088)	(8.0, 0.5612474947208688)	(9.0, 0.5580402554104257)	('>10', 8.482271472501644)	('>50', 4.265243802922311)	('>100', 10.91809109782188)	('>500', 4.717557883520237)	('>1k', 9.467167731123698)	('>5k', 5.478658544211377)	('>10k+', 12.216908933494404)
3R_S2_R2	(1.0, 35.869349046030024)	(2.0, 6.580966737256243)	(3.0, 2.28420740513554)	(4.0, 1.2684125161045314)	(5.0, 0.8880808952900924)	(6.0, 0.6954765437653234)	(7.0, 0.5773663860031072)	(8.0, 0.4688672569886498)	(9.0, 0.46449885654511175)	('>10', 7.884665037233485)	('>50', 3.8086374008515542)	('>100', 9.409371368524058)	('>500', 4.134894219252313)	('>1k', 7.765724240916796)	('>5k', 4.153674190114636)	('>10k+', 13.745807899988524)
